date,AdrActCnt
2023-09-26 00:00:00+00:00,1027673.0
2023-09-27 00:00:00+00:00,1072094.0
2023-09-28 00:00:00+00:00,1045920.0
2023-09-29 00:00:00+00:00,1050872.0
2023-09-30 00:00:00+00:00,1019753.0
2023-10-01 00:00:00+00:00,921731.0
2023-10-02 00:00:00+00:00,1027085.0
2023-10-03 00:00:00+00:00,1077556.0
2023-10-04 00:00:00+00:00,904067.0
2023-10-05 00:00:00+00:00,946720.0
2023-10-06 00:00:00+00:00,915218.0
2023-10-07 00:00:00+00:00,853582.0
2023-10-08 00:00:00+00:00,786381.0
2023-10-09 00:00:00+00:00,942188.0
2023-10-10 00:00:00+00:00,903210.0
2023-10-11 00:00:00+00:00,867301.0
2023-10-12 00:00:00+00:00,911879.0
2023-10-13 00:00:00+00:00,917035.0
2023-10-14 00:00:00+00:00,806946.0
2023-10-15 00:00:00+00:00,795940.0
2023-10-16 00:00:00+00:00,1018543.0
2023-10-17 00:00:00+00:00,917408.0
2023-10-18 00:00:00+00:00,932487.0
2023-10-19 00:00:00+00:00,918882.0
2023-10-20 00:00:00+00:00,952627.0
2023-10-21 00:00:00+00:00,871252.0
2023-10-22 00:00:00+00:00,795000.0
2023-10-23 00:00:00+00:00,1071672.0
2023-10-24 00:00:00+00:00,1021188.0
2023-10-25 00:00:00+00:00,1090466.0
2023-10-26 00:00:00+00:00,1099370.0
2023-10-27 00:00:00+00:00,1052994.0
2023-10-28 00:00:00+00:00,1018571.0
2023-10-29 00:00:00+00:00,909920.0
2023-10-30 00:00:00+00:00,1097494.0
2023-10-31 00:00:00+00:00,1044499.0
2023-11-01 00:00:00+00:00,1053031.0
2023-11-02 00:00:00+00:00,1062991.0
2023-11-03 00:00:00+00:00,990903.0
2023-11-04 00:00:00+00:00,1118816.0
2023-11-05 00:00:00+00:00,1144443.0
2023-11-06 00:00:00+00:00,993108.0
2023-11-07 00:00:00+00:00,961106.0
2023-11-08 00:00:00+00:00,1004807.0
2023-11-09 00:00:00+00:00,989778.0
2023-11-10 00:00:00+00:00,1127201.0
2023-11-11 00:00:00+00:00,1073475.0
2023-11-12 00:00:00+00:00,1008655.0
2023-11-13 00:00:00+00:00,963722.0
2023-11-14 00:00:00+00:00,957065.0
2023-11-15 00:00:00+00:00,961281.0
2023-11-16 00:00:00+00:00,933700.0
2023-11-17 00:00:00+00:00,1014052.0
2023-11-18 00:00:00+00:00,860889.0
2023-11-19 00:00:00+00:00,962703.0
2023-11-20 00:00:00+00:00,1064908.0
2023-11-21 00:00:00+00:00,1007505.0
2023-11-22 00:00:00+00:00,979014.0
2023-11-23 00:00:00+00:00,970303.0
2023-11-24 00:00:00+00:00,1136807.0
2023-11-25 00:00:00+00:00,1032695.0
2023-11-26 00:00:00+00:00,983533.0
2023-11-27 00:00:00+00:00,981736.0
2023-11-28 00:00:00+00:00,996007.0
2023-11-29 00:00:00+00:00,915309.0
2023-11-30 00:00:00+00:00,958958.0
2023-12-01 00:00:00+00:00,1131524.0
2023-12-02 00:00:00+00:00,860355.0
2023-12-03 00:00:00+00:00,919493.0
2023-12-04 00:00:00+00:00,1034656.0
2023-12-05 00:00:00+00:00,867570.0
2023-12-06 00:00:00+00:00,867353.0
2023-12-07 00:00:00+00:00,898183.0
2023-12-08 00:00:00+00:00,924415.0
2023-12-09 00:00:00+00:00,927620.0
2023-12-10 00:00:00+00:00,848613.0
2023-12-11 00:00:00+00:00,1010741.0
2023-12-12 00:00:00+00:00,886419.0
2023-12-13 00:00:00+00:00,742559.0
2023-12-14 00:00:00+00:00,711343.0
2023-12-15 00:00:00+00:00,860116.0
2023-12-16 00:00:00+00:00,724669.0
2023-12-17 00:00:00+00:00,703993.0
2023-12-18 00:00:00+00:00,928612.0
2023-12-19 00:00:00+00:00,817240.0
2023-12-20 00:00:00+00:00,787679.0
2023-12-21 00:00:00+00:00,815395.0
2023-12-22 00:00:00+00:00,1012121.0
2023-12-23 00:00:00+00:00,893092.0
2023-12-24 00:00:00+00:00,880971.0
2023-12-25 00:00:00+00:00,702609.0
2023-12-26 00:00:00+00:00,742922.0
2023-12-27 00:00:00+00:00,776011.0
2023-12-28 00:00:00+00:00,848615.0
2023-12-29 00:00:00+00:00,910761.0
2023-12-30 00:00:00+00:00,787521.0
2023-12-31 00:00:00+00:00,791644.0
2024-01-01 00:00:00+00:00,827239.0
2024-01-02 00:00:00+00:00,867688.0
2024-01-03 00:00:00+00:00,940343.0
2024-01-04 00:00:00+00:00,1010934.0
2024-01-05 00:00:00+00:00,813324.0
2024-01-06 00:00:00+00:00,808917.0
2024-01-07 00:00:00+00:00,713381.0
2024-01-08 00:00:00+00:00,756849.0
2024-01-09 00:00:00+00:00,902934.0
2024-01-10 00:00:00+00:00,839431.0
2024-01-11 00:00:00+00:00,960999.0
2024-01-12 00:00:00+00:00,987727.0
2024-01-13 00:00:00+00:00,845713.0
2024-01-14 00:00:00+00:00,722721.0
2024-01-15 00:00:00+00:00,786699.0
2024-01-16 00:00:00+00:00,782242.0
2024-01-17 00:00:00+00:00,809220.0
2024-01-18 00:00:00+00:00,897358.0
2024-01-19 00:00:00+00:00,806018.0
2024-01-20 00:00:00+00:00,817313.0
2024-01-21 00:00:00+00:00,767739.0
2024-01-22 00:00:00+00:00,951076.0
2024-01-23 00:00:00+00:00,865990.0
2024-01-24 00:00:00+00:00,899326.0
2024-01-25 00:00:00+00:00,1101397.0
2024-01-26 00:00:00+00:00,892906.0
2024-01-27 00:00:00+00:00,965883.0
2024-01-28 00:00:00+00:00,898096.0
2024-01-29 00:00:00+00:00,959589.0
2024-01-30 00:00:00+00:00,907924.0
2024-01-31 00:00:00+00:00,870798.0
